"Add New Attribute","新建属性"
"Add New Attribute Group","新建属性组"
"Add New Attribute Set","新建属性集"
"Attribute Management","属性管理"
"Attribute Set","属性集"
"Attribute Set Management","属性集管理"
"Attributes","属性"
"Charector","字符"
"CheckBox","复选框"
"Comparable","可比较"
"Color","颜色"
"Date","日期"
"Date&amp;Time","日期&amp;时间"
"Date/Time","日期/时间"
"Decimal","小数"
"Default Value","默认值"
"Dropdown","下拉菜单"
"File","文件"
"Filterable","可筛选"
"Integer","整数"
"Input Widget","输入控件"
"Is Required","必填项"
"Is Unique","唯一值"
"Label","标签"
"Label / Options","标签/选项"
"Multi-Select","多选菜单"
"Next","下一步"
"Number","数值"
"Options","选项"
"Radio","单选按钮"
"Searchable","可搜索"
"Select","选择"
"Select Attribute Set","选择属性集"
"Sortable","可排序"
"Text","文本"
"Textarea","文本域"
"Time","时间"
"Type","类型"
"Unapplied Attribute","未应用的属性"
"Validation","验证"
"Link","链接"
"Icon","图标"
"Add New Customer Media","新建媒体"
"Edit Customer Media","编辑媒体"